Start Date;01/01/2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
End Date;26/01/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ATO FP Equity;FP FP Equity;EN FP Equity;ADP FP Equity;AI FP Equity;AIR FP Equity;AMS SM Equity;AZN LN Equity;TEAM US Equity;ATO FP Equity;BKT SM Equity;BKG LN Equity;BIM FP Equity;BMW GR Equity;BNP FP Equity;BOBNN SW Equity;EN FP Equity;BP/ LN Equity;BTVCY US Equity;BNZL LN Equity;BVI FP Equity;CPG LN Equity;CPG LN Equity;1COV GY Equity;CRDA LN Equity;BN FP Equity;DAL IM Equity;DGE LN Equity;DPLM LN Equity;EDENFP CorpTicker;FGR FP Equity;ESSITYB SS Equity;ERF FP Equity;EXPN LN Equity;FNAC FP Equity;FRE GY Equity;GEBN SW Equity;GIVN SW Equity;HLMA LN Equity;HAS LN Equity;HENKEL HB Equity;ICON LN Equity;IMA IM Equity;ITX SM Equity;INGA NA Equity;ITRK LN Equity;KOMB CP Equity;KONE AV Equity;LH US Equity;LR FP Equity;MC FP Equity;MARR IM Equity;MDT US Equity;ML FP Equity;NESN SW Equity;RI FP Equity;POM FP Equity;RB/ LN Equity;RIO LN Equity;ROG SW Equity;ROR LN Equity;RUI FP Equity;SGE LN Equity;SAN FP Equity;SAP GY Equity;SLB US Equity;SU FP Equity;GLE FP Equity;SW FP Equity;STAN LN Equity;THEP FP Equity;TOTAL 3.875 PERP REGS Corp;UPM FH Equity;FR FP Equity;VIE FP Equity;DG FP Equity;WDI GY Equity;MRW LN Equity
11/07/2017;92,5939;42,67;36,65;138,65;88,4298;74,44;53,26;5081;35,34;92,5939;8,272;3280;63,0667;83,014;65,26;94,5;36,65;442,45;17,7;2224;19,195;1559;1559;64,82;3923,415;64,6;22,89;2261;1067;#N/A N/A;79,15;235,4;493,5;1544;73,05;74,9;447,6;1884;1088;166,7;#N/A N/A;14;77,65;33,34;15,585;4212;925,1;#N/A N/A;151,47;61,13;214,5;20,69;87,26;119,15;82,3;115,15;32,095;7600;3425,5;238,5;233,1;48,95;672;83,36;90,33;65,79;67,79;48,775;101,45;813;46,89;106,84;25,56;62,4;19,02;75,12;64,15;243,6
12/07/2017;93,9173;43,075;37,535;140;90,2479;74,64;54,04;5192;36,24;93,9173;8,32;3272;63,9333;83,84;65,99;94,2;37,535;450,65;17,7;2250;19,855;1594;1594;64,47;4002,293;65,68;23,5;2301;1063;#N/A N/A;81,35;242;502,65;1570;73,74;76,44;456,5;1906;1105;165;#N/A N/A;14;79,65;33,79;15,58;4296;932;#N/A N/A;152,45;62,26;216,35;21;87,81;121,2;83,7;116,55;32,415;7748;3453;243,4;241,8;49,775;682;85,96;91,58;65,58;69,03;49,13;103,45;817,3;46,9;107,302;26,05;64,35;19,36;77,07;65,25;244,4
13/07/2017;94,3332;43,11;38,01;139,3;89,9174;75;53,87;5013;35,53;94,3332;8,358;3359;63,5833;84,555;66,92;94,75;38,01;446,85;17,7;2268;19,84;1594;1594;64,31;3993,073;66,08;23,93;2286;1068;#N/A N/A;81,98;238,5;505,1;1589;75,19;75,99;455,6;1912;1101;167,5;#N/A N/A;14,125;79,4;34,05;15,745;4288;933;#N/A N/A;152,42;62,15;216,4;21,2;87,81;122,3;83,8;116,55;32,635;7724;3420;243,1;242,5;50;677;85,22;91,36;66,49;69,23;49,6;101,75;815,8;47;107,409;26,25;64,06;19,4;77,96;65,22;245,9
14/07/2017;94,7491;43,335;37,945;139,95;90,4132;74,56;54,27;4998,5;35,65;94,7491;8,337;3322;64,4333;83,66;66,3;94,7;37,945;444,8;18,81;2262;19,965;1587;1587;64,6;3991,025;65,94;23,99;2285;1060;#N/A N/A;81,9;238,5;511,65;1588;75,58;76,23;457,9;1958;1094;167,6;#N/A N/A;15;79,75;34,2;15,7;4254;930;#N/A N/A;153,3;62,24;219,75;21,33;88,57;122,65;84;117,65;32,75;7744;3448;245,9;241,8;50,45;683;84,58;91,34;66,85;68,68;48,98;101,4;808,5;46,745;107,496;26,22;64,41;19,4;77,89;65,2;246
17/07/2017;94,7869;43,27;37,805;140,15;90,5785;73,64;55;5040;35,65;94,7869;8,335;3328;64,2167;83,504;65,86;94,75;37,805;447,85;18,96;2265;19,895;1607;1607;65,36;4001,269;65,83;24,82;2293;1065;#N/A N/A;81,86;239,1;512;1564;75,71;75,86;459,4;1977;1086;167,1;#N/A N/A;15;80,05;34,55;15,645;4246;940;#N/A N/A;153,68;62,09;222,35;21,85;86,06;122,7;83,6;117,7;32,91;7765;3472,5;246;248,4;50,6;675,5;83,8;90,99;66,83;68,22;48,75;101,9;810,9;47,07;107,641;26,3;64,58;19,26;77,76;65,18;247,6
18/07/2017;94,5222;42,915;37,295;143,8;89,6694;72,46;54,49;5069;35,43;94,5222;8,167;3365;63,8667;83,277;64,76;94,15;37,295;445,45;18,96;2248;19,795;1596;1596;65,4;3998,195;65,3;24,3;2286,5;1065;#N/A N/A;81,71;236,7;504,95;1532;75,54;75,04;456,3;1965;1090;166,3;#N/A N/A;14,25;80,3;33,72;15,425;4230;952,9;#N/A N/A;153,31;61,25;219;21,93;85,85;119,8;83;116,85;32,775;7812;3448;243,2;246,6;50,7;672;82,59;89,83;66,18;68,03;47,95;100,5;804,3;47,4;107,893;25,92;64,14;19,12;77,15;64;247,2
19/07/2017;95,8455;43,385;37,84;143,65;90,2893;73,69;55,2;5070;36,26;95,8455;8,159;3417;64;83,305;64,84;94,85;37,84;445,95;18,96;2261;20,005;1608;1608;65,94;4014,586;65,97;24,54;2289,5;1052;#N/A N/A;82,65;238,5;508,1;1537;75,71;75,23;456,9;1960;1094;167,9;#N/A N/A;14,25;80,3;34,22;15,43;4329;951,9;#N/A N/A;155,01;61,51;222,25;22;85,65;121,15;83,35;117,5;33,295;7937;3446,5;244,1;248,9;51,675;690;82,24;91,33;67,44;68,44;48,13;102,15;810,1;47,75;108,077;26,04;64,37;19,23;78,38;63,7;248,4
20/07/2017;94,8247;43,345;37,17;144;89,6281;72,36;54,75;5123;35,98;94,8247;8,142;3412;63,35;83,326;64,29;94,25;37,17;450,25;18,96;2272;20,13;1627;1627;64,98;4005,366;65,93;24,79;2309,5;1061;#N/A N/A;82,32;237,4;506,4;1537;75;74,83;457,9;1901;1092;168,1;#N/A N/A;14,25;80,75;34,165;15,515;4345;958;#N/A N/A;156,12;61;222,3;22,3;85,67;119;83,4;116,85;33,42;7953;3385,5;245,3;249,4;52,05;692;82,77;91,11;67,02;67,58;48,095;101,8;825;47,995;108,18;25,9;64,02;19,23;77,95;64,2;249,5
21/07/2017;93,2745;42,715;36,6;142,05;87,6446;71,37;54,26;5152;35,75;93,2745;8,052;3417;62,5167;80,944;63,64;92,05;36,6;446,3;18,96;2278;19,85;1610;1610;63,95;3974,634;64,65;24,86;2285,5;1072;#N/A N/A;80,84;235,1;492,3;1517;74,88;73,46;451,1;1921;1105;167,3;#N/A N/A;14,5;80,5;33,625;15,465;4320;958,9;#N/A N/A;156,55;60,3;219,25;22,06;85,17;117,35;82,6;115,55;32,99;7881;3353;244;253;53,875;691,5;81,52;88,88;66,53;65,49;47,6;100,4;813,7;47,845;108,233;25,76;59,58;19,12;76,12;63,93;249,3
24/07/2017;93,1233;42,655;36,405;141,15;87,9339;71,63;53,69;5089;36,41;93,1233;8,12;3395;61,3;78,993;64,23;93,9;36,405;439,75;18,73;2247;19,605;1587;1587;65,31;3918,293;64,05;25,53;2247,5;1065;#N/A N/A;80,85;233,3;486;1514;75,5;73,46;447,8;1901;1080;164,3;#N/A N/A;14,75;81;33,645;15,49;4239;966,5;#N/A N/A;157,89;59,91;219,15;22,36;85,09;116,5;81,85;114,7;32,9;7623;3324;242,6;247,8;53,725;688;81,91;88,75;66,42;65,4;48,165;100,75;817,6;47,5;108,256;25,4;59,77;19,1;76,79;63;246,6
